"mine_basin","HYBAS_ID","distance","downstream"
"1120000920",1120000920,0,0
"1120001000",1120001000,0,0
"1120295340",1120001000,9214.36803553747,1
"1121750050",1120001040,26065.7839201262,1
"1120353360",1120001370,15200.3585609905,1
"1121770120",1120001370,25521.1058082298,1
"1120827120",1120005340,91361.7640002032,1
"1121961590",1120005340,75752.6324926087,1
"1120008900",1120008900,0,0
"1121246730",1120008900,18495.3960703885,1
"1120008920",1120008920,0,0
"1120008940",1120008940,0,0
"1120070850",1120009010,281297.619062824,1
"1121252760",1120009010,66931.1977030347,1
"1122124840",1120009010,75996.1979732852,1
"1121257770",1120009040,98002.4304308852,1
"1122127100",1120009040,76629.6926592012,1
"1121274870",1120009170,11754.5761928899,1
"1122132880",1120009170,20996.5872054758,1
"1122128340",1120009451,538749.06072132,1
"1122128750",1120009451,546945.093545463,1
"1121260890",1120009452,558182.222097135,1
"1122128340",1120009452,540725.432207732,1
"1122128750",1120009452,548908.168906865,1
"1122157100",1120009830,26605.4659532065,1
"1121335732",1120009881,13048.958983087,1
"1120009920",1120009920,0,0
"1121385060",1120010481,32636.928920603,1
"1121385470",1120010481,26472.7729740312,1
"1122180920",1120010481,45065.074370994,1
"1121385060",1120010482,34866.1478478266,1
"1121385470",1120010482,27921.9982314193,1
"1122180920",1120010482,46951.8278006024,1
"1120011142",1120011141,6844.75379742475,1
"1120011142",1120011142,0,0
"1122212070",1120011280,86617.5814580694,1
"1121503660",1120011961,71210.3667821777,1
"1121503660",1120011962,71732.7668753689,1
"1121584210",1120012590,58623.8549261166,1
"1121586700",1120012590,37426.998629726,1
"1120012961",1120012961,0,0
"1120012961",1120012962,6175.02182198881,0
"1121625210",1120013001,14841.3979953777,1
"1121626910",1120013001,13112.2196911478,1
"1121625210",1120013002,15991.6825093598,1
"1121626910",1120013002,10326.7069482229,1
"1120013020",1120013020,0,0
"1121629480",1120013040,12075.3685523223,1
"1120015510",1120015510,0,0
"1122295920",1120015510,12616.5742405088,1
"1121648570",1120015530,14561.9583359775,1
"1121644680",1120015560,74781.6692525023,1
"1121647120",1120015560,25445.6456644936,1
"1120081590",1120015590,7435.32210973544,1
"1120015690",1120015690,0,0
"1121632770",1120015720,37227.2402522055,1
"1121632890",1120015720,27959.8371114046,1
"1121632990",1120015720,22843.7890979433,1
"1121633000",1120015720,58669.6166048668,1
"1121633200",1120015720,17054.4045163141,1
"1121633330",1120015720,9500.83214466525,1
"1122289590",1120015720,43565.3342157589,1
"1120015850",1120015850,0,0
"1121619030",1120015850,70510.3917765947,1
"1121619040",1120015850,80961.7502124001,1
"1121619960",1120015850,76357.9244821129,1
"1121620470",1120015850,70961.0949222075,1
"1121621100",1120015850,62783.2256779327,1
"1121621800",1120015850,47127.2614816129,1
"1121622740",1120015850,40486.3400058051,1
"1121624050",1120015850,32067.6979673751,1
"1122284780",1120015850,56175.5940274685,1
"1121618410",1120015960,10954.3381909401,1
"1121559700",1120016780,15339.2833302216,1
"1121560170",1120016780,20416.5702449151,1
"1121560180",1120016780,23559.3530559441,1
"1121559170",1120016800,22522.6583954002,1
"1122259350",1120016800,90176.4454960739,1
"1121555450",1120016850,20897.3903936294,1
"1121555460",1120016850,54214.3468140624,1
"1121556990",1120016850,72240.2513419783,1
"1122255770",1120016850,46660.1760424751,1
"1121549490",1120016940,43421.1145561204,1
"1121550800",1120016940,25775.8459623363,1
"1122253660",1120016940,50331.6571245927,1
"1121547540",1120017040,45213.7677143176,1
"1122251170",1120017080,103239.602408045,1
"1120017160",1120017160,0,0
"1121351150",1120019180,26006.3070024591,1
"1121285120",1120019800,22568.2985162728,1
"1122136720",1120019800,42181.5711333828,1
"1121246131",1120020211,23170.6881180917,1
"1121246132",1120020211,25084.1410770769,1
"1121246131",1120020212,20676.7511694347,1
"1121246132",1120020212,21680.4512057931,1
"1121238170",1120020240,25366.9782341024,1
"1121238180",1120020240,36333.4938616967,1
"1122079050",1120020870,46537.3165725486,1
"1120955480",1120023130,51593.3997623946,1
"1121000740",1120023660,48791.9940089283,1
"1122037790",1120023710,18582.4987776117,1
"1122038830",1120023710,9616.67732844382,1
"1122039010",1120023750,15994.5790515353,1
"1120996680",1120023770,69118.2910463561,1
"1120996690",1120023770,74385.0635757944,1
"1120998910",1120023770,62057.5257612698,1
"1120999050",1120023770,69058.9901388746,1
"1121003220",1120023770,57086.6670243066,1
"1121003230",1120023770,54955.769586285,1
"1121004540",1120023770,48451.2295532373,1
"1121005940",1120023770,42483.1766736418,1
"1121006120",1120023770,40117.8397537482,1
"1121006860",1120023770,35385.8400923256,1
"1121006870",1120023770,37583.7285369521,1
"1121007980",1120023770,55984.380419793,1
"1121008100",1120023770,44752.6103692636,1
"1121008340",1120023770,46314.0944802863,1
"1121008350",1120023770,54764.8848568417,1
"1121008510",1120023770,34925.1848392603,1
"1121008520",1120023770,48272.2904527943,1
"1121012470",1120023770,18017.7263180803,1
"1121014190",1120023770,11899.7579800365,1
"1121017110",1120023770,12262.4355082211,1
"1122030200",1120023770,78164.8903405568,1
"1122032250",1120023770,59261.8591340556,1
"1122032260",1120023770,60848.293280782,1
"1122032790",1120023770,65884.9066448587,1
"1122035300",1120023770,34622.0451858901,1
"1120024440",1120024440,0,0
"1122037340",1120024500,23841.9725288496,1
"1120024771",1120024771,0,0
"1120024771",1120024772,5412.70994798592,0
"1120954040",1120024832,68779.5246964263,1
"1120940870",1120024960,27201.4975578264,1
"1120942630",1120024960,19382.5107986347,1
"1120024980",1120024980,0,0
"1120921940",1120024980,85384.2631212442,1
"1120931892",1120024980,40668.4602671553,1
"1120908191",1120025070,40468.8706587844,1
"1120908360",1120025070,35705.9360110252,1
"1120913381",1120025070,32859.0894487559,1
"1120913382",1120025070,27885.4587454104,1
"1120913390",1120025070,38425.2783433502,1
"1120025171",1120025171,0,0
"1120025172",1120025171,6863.95680822983,1
"1120025171",1120025172,6863.95680822983,0
"1120875680",1120025341,39745.6270614029,1
"1120875680",1120025342,40088.6756678722,1
"1120837220",1120025561,44206.3784334924,1
"1120837220",1120025562,44148.7587590242,1
"1121964810",1120025631,19452.6557769799,1
"1121964810",1120025632,22720.7461508778,1
"1120025661",1120025661,0,0
"1120025661",1120025662,7535.15939384894,0
"1120800210",1120025691,55726.0457995507,1
"1120803320",1120025691,40382.3434393557,1
"1120800210",1120025692,58867.0828376848,1
"1120803320",1120025692,43848.7779831648,1
"1121951510",1120025850,13176.1133717108,1
"1120774860",1120025891,38278.1295891792,1
"1120779630",1120025891,26696.507387532,1
"1121946930",1120025891,41993.652008169,1
"1120774860",1120025892,37731.1372884063,1
"1120779630",1120025892,26409.845301809,1
"1121946930",1120025892,46858.7206460856,1
"1120027220",1120027220,0,0
"1120429370",1120027920,97411.128438337,1
"1120437470",1120027920,82451.9291422999,1
"1121803030",1120027920,83370.9481096027,1
"1120354130",1120028700,484305.838551757,1
"1120354240",1120028700,484241.540982954,1
"1121774690",1120028700,499181.315960133,1
"1121775090",1120028700,500296.045059902,1
"1121775800",1120028700,501968.893674518,1
"1120120930",1120029370,60519.7223715298,1
"1120121210",1120029370,61439.2933097535,1
"1120121540",1120029400,101707.575592668,1
"1121675750",1120029400,90253.2769821187,1
"1120123950",1120029430,139413.952901059,1
"1120124410",1120029430,130439.540579986,1
"1120083420",1120030700,7446.05174662784,1
"1120084350",1120030880,27316.891660432,1
"1120083300",1120031100,42258.9563000529,1
"1121481490",1120036260,12288.3454678707,1
"1120036322",1120036321,5527.38023072017,1
"1120036322",1120036322,0,0
"1120037970",1120037970,0,0
"1121392240",1120038050,53178.6995802645,1
"1120039032",1120039031,8167.9561634213,1
"1121490540",1120039111,37478.9924467944,1
"1121496561",1120039111,10349.8877147238,1
"1121490540",1120039112,40069.8787130536,1
"1121496561",1120039112,9954.73020691333,1
"1122236490",1120039250,97124.8174965715,1
"1121547310",1120039620,74932.0479804309,1
"1122253060",1120039620,74320.393191039,1
"1121524490",1120040200,38471.0389465565,1
"1121528010",1120040200,33735.3653307456,1
"1121528160",1120040200,23705.0063019186,1
"1121529920",1120040200,82563.4208617302,1
"1121532210",1120040200,41843.7323748089,1
"1121532280",1120040200,45936.1322889451,1
"1122246410",1120040200,47562.5602465894,1
"1121260890",1120040800,64828.913794881,1
"1122128340",1120040800,44911.4195124701,1
"1122128750",1120040800,51529.5256146093,1
"1120097540",1120041140,40641.1275148549,1
"1120097600",1120041140,29850.6648404962,1
"1120097970",1120041140,37064.6339187186,1
"1120098790",1120041140,60840.3616953721,1
"1120100410",1120041140,46895.962758804,1
"1120100970",1120041140,36182.5480799457,1
"1121666680",1120041140,48575.141991719,1
"1121667820",1120041140,57950.7956456823,1
"1120365870",1120041750,11416.6533006937,1
"1121775930",1120041750,16718.7489681742,1
"1120354130",1120042390,45907.1979059144,1
"1120354240",1120042390,57527.3615454722,1
"1121773760",1120042390,56384.0072689218,1
"1120397250",1120042540,77736.7256823129,1
"1121584360",1120042560,86633.6735311122,1
"1122270680",1120042560,76788.9022743055,1
"1121774690",1120042800,36704.7818176731,1
"1121775090",1120042800,27624.8919953627,1
"1121775800",1120042800,18059.3385070416,1
"1120123950",1120045200,11702.5968626605,1
"1120124410",1120045200,19965.2217427455,1
"1121630830",1120045470,14344.530555666,1
"1121631080",1120045470,23516.1069046858,1
"1121631150",1120045470,33085.5127125892,1
"1120359710",1120045490,84776.6157365406,1
"1121708680",1120046460,29894.4651191283,1
"1121605480",1120048210,19638.9211144145,1
"1122278300",1120048210,14311.1461607419,1
"1120051010",1120051010,0,0
"1121633590",1120051010,3927.16730315069,1
"1121636610",1120051610,14135.1346679862,1
"1122290890",1120051610,20335.5593480178,1
"1120283700",1120052240,10107.6759810275,1
