eanum,clust,dist_name,region_name,ur,ez,AREADIST,POPDENS
1,2001,Jomoro,Western,2,1,,
5,2005,Komenda/Edna Eguafo/Ebire,Central,2,1,380,202.2789
6,2006,Nzema East,Western,2,1,2194,37.9403
9,2009,Ahanta West,Western,2,1,591,147.203
14,2014,Wassa West,Western,2,1,2610,53.7513
22,2022,Gomoa,Central,2,1,850,158.8929
25,2025,Ajumako/Enyan/Esunafo,Central,2,1,480,159.775
33,2033,Gomoa,Central,2,1,850,158.8929
38,2038,Agona,Central,2,1,540,223.687
46,2046,Dangbe West,Greater Accr,2,1,1680,44.0798
49,2049,Dangbe East,Greater Accr,2,1,640,110.4484
57,2057,Dangbe West,Greater Accr,2,1,1680,44.0798
62,2062,Adidome,Volta,2,1,1460,61.6438
65,2065,Adidome,Volta,2,1,1460,61.6438
70,2070,Ketu,Volta,1,1,900,168.29
73,2073,Ketu,Volta,2,1,900,168.29
78,2078,Adidome,Volta,2,1,1460,61.6438
81,2081,Jomoro,Western,1,1,1344,48.1183
86,2086,Shama Ahanta East,Western,1,1,385,634.3896
89,2089,Shama Ahanta East,Western,1,1,385,634.3896
94,2094,Cape Coast,Central,1,1,122,710
97,2097,Mfantsiman,Central,1,1,510,234.4471
102,2102,Asikuma/Odoben/Brakwa,Central,1,1,850,62.08
105,2105,Gomoa,Central,1,1,850,158.8929
110,2110,Awutu/Efutu/Senya,Central,1,1,780,114.7064
113,2113,Dangbe West,Greater Accr,1,1,1680,44.0798
118,2118,Akwapim North,Eastern,1,1,610,145.4738
121,2121,Adidome,Volta,1,1,1460,61.6438
126,2126,Akatsi,Volta,1,1,820,92.078
129,2129,Ahanta West,Western,1,1,591,147.203
134,2134,Shama Ahanta East,Western,1,1,385,634.3896
137,2137,Shama Ahanta East,Western,1,1,385,634.3896
142,2142,Komenda/Edna Eguafo/Ebire,Central,1,1,380,202.2789
145,2145,Cape Coast,Central,1,1,122,710
150,2150,Mfantsiman,Central,1,1,510,234.4471
158,2158,Ga West,Greater Accr,1,1,600,137.9767
161,2161,Agona,Central,1,1,540,223.687
166,2166,Ga West,Greater Accr,1,1,600,137.9767
169,2169,Accra Metro,Greater Accr,1,1,300,3382.99
193,2193,Accra Metro,Greater Accr,1,1,300,3382.99
201,2201,Accra Metro,Greater Accr,1,1,300,3382.99
206,2206,Accra Metro,Greater Accr,1,1,300,3382.99
214,2214,Accra Metro,Greater Accr,1,1,300,3382.99
217,2217,Accra Metro,Greater Accr,1,1,300,3382.99
222,2222,Accra Metro,Greater Accr,1,1,300,3382.99
225,2225,Accra Metro,Greater Accr,1,1,300,3382.99
230,2230,Accra Metro,Greater Accr,1,1,300,3382.99
249,2249,Tema Municipal Area,Greater Accr,1,1,440,467.1273
254,2254,Tema Municipal Area,Greater Accr,1,1,440,467.1273
257,2257,Tema Municipal Area,Greater Accr,1,1,440,467.1273
262,2262,Tema Municipal Area,Greater Accr,1,1,440,467.1273
265,2265,Akwapim South,Eastern,1,1,360,240.5111
273,2273,New Juabeng,Eastern,1,1,200,490.04
278,2278,Ketu,Volta,1,1,900,168.29
281,2281,Ketu,Volta,1,1,900,168.29
286,2286,Wassa West,Western,2,1,2610,53.7513
289,2289,Wassa West,Western,2,2,2610,53.7513
294,2294,Wassa Amenfi West,Western,1,2,4747,29.4571
297,2297,Wassa Amenfi East,Western,2,2,4747,29.4571
302,2302,Juaboso,Western,2,2,4496,28.7146
305,2305,Bia,Western,2,2,4496,28.7146
310,2310,Sefwi Wiawso,Western,2,2,1900,36.5195
313,2313,Assin South,Central,2,2,2300,53.9
318,2318,Twifo-Heman/Lower Denkyira,Central,2,1,1370,59.2058
321,2321,Upper Denkyira,Central,2,2,2386,29
326,2326,Birim South,Eastern,2,2,1090,141.6651
329,2329,Birim South,Eastern,2,2,1090,141.6651
334,2334,West Akim,Eastern,2,2,700,207.9914
337,2337,Suhum/Kraboa/Coaltar,Eastern,2,2,940,114.8638
342,2342,Suhum/Kraboa/Coaltar,Eastern,2,2,940,114.8638
345,2345,East Akim,Eastern,2,2,1510,110.5225
350,2350,Kwahu West,Eastern,2,2,1860,106.721
353,2353,Kwahu South,Eastern,2,2,1860,106.721
358,2358,North Dayi,Volta,2,2,1110,96.2505
361,2361,Jasikan,Volta,2,2,1390,68.0396
366,2366,Atwima Mponua,Ashanti,2,2,2460,54.3447
369,2369,Atwima Nwabiagya,Ashanti,2,2,2460,54.3447
374,2374,Ejisu/Juabeng,Ashanti,2,2,650,129.8985
377,2377,Kumasi Metro,Ashanti,1,2,220,2222.6864
382,2382,Kwabre,Ashanti,2,2,250,340.5
385,2385,Amansie West,Ashanti,2,2,1280,71.3469
390,2390,Amansie East,Ashanti,2,2,1870,78.7497
393,2393,Bosumtwe/Atwima/Kwanwoma,Ashanti,2,2,620,165.1935
398,2398,Adansi South,Ashanti,2,2,1020,97.2196
401,2401,Adansi North,Ashanti,2,2,950,130.7516
406,2406,Kwabre,Ashanti,2,2,250,340.5
409,2409,Sekyere East,Ashanti,2,2,4510,20.3521
417,2417,Offinso,Ashanti,2,2,1350,99.3341
422,2422,Ahafo Ano South,Ashanti,2,2,570,140.0123
429,2429,Asunafo South,Brong Ahafo,2,2,2120,41.1108
430,2430,Asunafo North,Brong Ahafo,2,2,2120,41.1108
438,2438,Dormaa,Brong Ahafo,2,2,2050,53.559
445,2445,Wassa West,Western,1,2,2610,53.7513
446,2446,Wassa West,Western,1,2,2610,53.7513
453,2453,Assin South,Central,1,2,2300,53.9
454,2454,Assin North,Central,2,2,2300,53.9
462,2462,Birim South,Eastern,1,2,1090,141.6651
469,2469,Suhum/Kraboa/Coaltar,Eastern,1,2,940,114.8638
470,2470,East Akim,Eastern,1,2,1510,110.5225
477,2477,Kwahu West,Eastern,1,2,1860,106.721
478,2478,Kwahu South,Eastern,1,2,1860,106.721
486,2486,Atwima Nwabiagya,Ashanti,1,2,2460,54.3447
493,2493,Atwima Mponua,Ashanti,1,2,2460,54.3447
494,2494,Amansie East,Ashanti,1,2,1870,78.7497
501,2501,Asante Akim South,Ashanti,1,2,1080,744.7963
502,2502,Asante-Akyem North,Ashanti,1,2,1260,70.8151
509,2509,Sekyere East,Ashanti,1,2,4510,20.3521
510,2510,Sekyere East,Ashanti,1,2,4510,20.3521
517,2517,Ahafo Ano South,Ashanti,1,2,570,140.0123
518,2518,Asunafo North,Brong Ahafo,2,2,2120,41.1108
525,2525,Techiman Municipal,Brong Ahafo,1,2,950,110.2316
526,2526,Wench East,Brong Ahafo,1,2,5000,21.023
533,2533,Bibiani/Anwiaso/Bekwai,Western,1,2,850,74.1294
534,2534,Assin North,Central,1,2,2300,53.9
541,2541,Kwaebibirem,Eastern,1,2,1210,104.1702
542,2542,Kwaebibirem,Eastern,1,2,1210,104.1702
549,2549,Atiwa,Eastern,1,2,1510,110.5225
550,2550,Fanteakwa,Eastern,1,2,1150,65.7852
557,2557,North Dayi,Volta,1,2,1110,96.2505
558,2558,Jasikan,Volta,1,2,1390,68.0396
565,2565,Kumasi Metro,Ashanti,1,2,220,2222.6864
566,2566,Kumasi Metro,Ashanti,1,2,220,2222.6864
573,2573,Kumasi Metro,Ashanti,1,2,220,2222.6864
574,2574,Kumasi Metro,Ashanti,1,2,220,2222.6864
582,2582,Kumasi Metro,Ashanti,1,2,220,2222.6864
589,2589,Kumasi Metro,Ashanti,1,2,220,2222.6864
597,2597,Asante-Akyem North,Ashanti,1,2,1260,70.8151
598,2598,Asante-Akyem North,Ashanti,1,2,1260,70.8151
606,2606,Offinso,Ashanti,1,2,1350,99.3341
614,2614,Sunyani Municipal,Brong Ahafo,1,2,1360,72.4265
621,2621,Dormaa,Brong Ahafo,1,2,2050,53.559
622,2622,Techiman Municipal,Brong Ahafo,1,2,950,110.2316
629,2629,Asuogyaman,Eastern,2,3,640,86.8688
630,2630,Asuogyaman,Eastern,2,2,640,86.8688
637,2637,Adaklu-Anyigbe,Volta,2,2,2660,73.3286
638,2638,Adaklu-Anyigbe,Volta,2,2,2660,73.3286
645,2645,Kadjebi,Volta,2,3,1170,68.9043
646,2646,Kadjebi,Volta,2,2,1170,68.9043
653,2653,Jaman North,Brong Ahafo,2,3,1600,54.4012
654,2654,Tain,Brong Ahafo,2,2,5000,21.023
662,2662,Nkoranza,Brong Ahafo,2,2,2340,37.1333
669,2669,Sene,Brong Ahafo,2,3,7900,9.6627
670,2670,Sene,Brong Ahafo,2,3,7900,9.6627
677,2677,East Gonga,Northern,2,3,12955,9.4909
678,2678,East Gonga,Northern,2,3,12955,9.4909
686,2686,Karaga,Northern,2,3,6000,10.9252
693,2693,Gushiegu,Northern,2,3,6000,10.9252
694,2694,West Mamprusi,Northern,2,3,4810,15.195
701,2701,Sissala West,Upper West,2,3,7130,8.3874
710,2710,Builsa,Upper East,2,3,1960,40.2459
717,2717,Kasisina Nankana,Upper East,2,3,1700,79.6341
718,2718,Talensi-Nabdam,Upper East,2,3,1460,113.9151
725,2725,Bongo,Upper East,2,3,480,139.5917
726,2726,Bongo,Upper East,2,3,480,139.5917
733,2733,Bawku West,Upper East,2,3,2097,56.793
734,2734,Bawku Municipal,Upper East,2,3,2097,56.793
741,2741,Afram Plains,Eastern,1,3,5260,15.5209
742,2742,South Dayi,Volta,1,2,1110,96.2505
749,2749,Nkwanta,Volta,1,3,5480,19.8905
750,2750,Jaman South,Brong Ahafo,2,2,1600,54.4012
757,2757,Kintampo South,Brong Ahafo,1,3,6540,11.5824
758,2758,Sene,Brong Ahafo,1,3,7900,9.6627
765,2765,Wa West,Upper West,1,3,5460,24.7817
766,2766,Jirapa Lambussie,Upper West,1,3,1810,45.7746
773,2773,Ho Municipal,Volta,1,2,2660,73.3286
774,2774,Ho Municipal,Volta,1,2,2660,73.3286
781,2781,Pru,Brong Ahafo,1,3,5990,17.2907
782,2782,Bole,Northern,1,3,10110,8.4969
797,2797,Bolgatanga Municipal,Upper East,1,3,1460,113.9151
798,2798,Bolgatanga Municipal,Upper East,1,3,1460,113.9151
