reg_code,ea,dist_name,reg_name
1,2,Jomoro,Western
1,5,Nzema East,Western
1,102,Nzema East,Western
1,9,Ahanta West,Western
1,12,Ahanta West,Western
1,105,Ahanta West,Western
1,15,Shama Ahanta East,Western
1,109,Shama Ahanta East,Western
1,112,Shama Ahanta East,Western
1,162,Shama Ahanta East,Western
1,165,Shama Ahanta East,Western
1,169,Shama Ahanta East,Western
1,172,Shama Ahanta East,Western
1,175,Shama Ahanta East,Western
1,555,Mpohor Wassa East,Western
1,355,Wassa West,Western
1,359,Wassa West,Western
1,362,Wassa West,Western
1,659,Wassa West,Western
1,662,Wassa West,Western
1,365,Wassa Amenfi East,Western
1,369,Wassa Amenfi East,Western
1,372,Wassa Amenfi East,Western
1,559,Wassa Amenfi East,Western
1,375,Aowin-Suaman,Western
1,819,Tain,Brong Ahafo
1,379,Bia,Western
1,382,Bia,Western
1,562,Bia,Western
1,385,Sefwi Wiawso,Western
1,665,Sefwi Wiawso,Western
1,389,Bibiani/Anwiaso/Bekwai,Western
1,565,Bibiani/Anwiaso/Bekwai,Western
1,755,Ejura Sekyidumasi,Ashanti
2,19,Komenda/Edna Eguafo/Ebire,Central
2,22,Komenda/Edna Eguafo/Ebire,Central
2,115,Komenda/Edna Eguafo/Ebire,Central
2,179,Komenda/Edna Eguafo/Ebire,Central
2,182,Cape Coat,Central
2,185,Cape Coat,Central
2,35,Abura/Asebu/Kwamankese,Central
2,129,Abura/Asebu/Kwamankese,Central
2,25,Mfantsiman,Central
2,119,Mfantsiman,Central
2,189,Mfantsiman,Central
2,29,Gomoa,Central
2,39,Gomoa,Central
2,42,Gomoa,Central
2,122,Gomoa,Central
2,132,Gomoa,Central
2,134,Gomoa,Central
2,44,Awutu/Efutu/Senya,Central
2,195,Awutu/Efutu/Senya,Central
2,49,Agona,Central
2,139,Agona,Central
2,199,Agona,Central
2,202,Agona,Central
2,205,Agona,Central
2,192,Asikuma/Odoben/Brakwa,Central
2,32,Ajumako/Enyan/Esunafo,Central
2,125,Ajumako/Enyan/Esunafo,Central
2,392,Assin South,Central
2,395,Assin South,Central
2,569,Assin North,Central
2,399,Twifo-Heman/Lower Denkyira,Central
2,402,Twifo-Heman/Lower Denkyira,Central
2,405,Upper Denkyira,Central
2,572,Upper Denkyira,Central
2,669,Upper Denkyira,Central
3,209,Accra Metro,Greater Accr
3,212,Accra Metro,Greater Accr
3,215,Accra Metro,Greater Accr
3,219,Accra Metro,Greater Accr
3,222,Accra Metro,Greater Accr
3,225,Accra Metro,Greater Accr
3,229,Accra Metro,Greater Accr
3,232,Accra Metro,Greater Accr
3,235,Accra Metro,Greater Accr
3,239,Accra Metro,Greater Accr
3,245,Accra Metro,Greater Accr
3,249,Accra Metro,Greater Accr
3,252,Accra Metro,Greater Accr
3,255,Accra Metro,Greater Accr
3,259,Accra Metro,Greater Accr
3,262,Accra Metro,Greater Accr
3,282,Accra Metro,Greater Accr
3,285,Accra Metro,Greater Accr
3,292,Accra Metro,Greater Accr
3,295,Accra Metro,Greater Accr
3,299,Accra Metro,Greater Accr
3,302,Accra Metro,Greater Accr
3,305,Accra Metro,Greater Accr
3,309,Accra Metro,Greater Accr
3,52,Ga East,Greater Accr
3,55,Ga West,Greater Accr
3,242,Accra Metro,Greater Accr
3,142,Tema Municipal Area,Greater Accr
3,265,Accra Metro,Greater Accr
3,269,Tema Municipal Area,Greater Accr
3,272,Tema Municipal Area,Greater Accr
3,275,Tema Municipal Area,Greater Accr
3,279,Tema Municipal Area,Greater Accr
3,289,Accra Metro,Greater Accr
3,312,Tema Municipal Area,Greater Accr
3,315,Tema Municipal Area,Greater Accr
3,319,Tema Municipal Area,Greater Accr
3,322,Tema Municipal Area,Greater Accr
3,325,Tema Municipal Area,Greater Accr
3,59,Dangbe East,Greater Accr
3,329,Dangbe East,Greater Accr
3,62,Dangbe East,Greater Accr
3,145,Dangbe East,Greater Accr
4,84,Keta,Volta
4,345,Keta,Volta
4,89,Ketu,Volta
4,92,Ketu,Volta
4,155,Ketu,Volta
4,349,Ketu,Volta
4,352,Ketu,Volta
4,95,Ketu,Volta
4,99,Akatsi,Volta
4,159,Akatsi,Volta
4,79,Adidome,Volta
4,81,Asuogyaman,Eastern
4,152,Asuogyaman,Eastern
4,795,Akatsi,Volta
4,799,Ho Municipal,Volta
4,802,Ho Municipal,Volta
4,929,Ho Municipal,Volta
4,965,Ho Municipal,Volta
4,449,North Dayi,Volta
4,805,North Dayi,Volta
4,445,North Dayi,Volta
4,695,North Dayi,Volta
4,452,Jasikan,Volta
4,602,Jasikan,Volta
4,605,Jasikan,Volta
4,699,Kadjebi,Volta
4,932,Kadjebi,Volta
4,815,East Gonga,Northern
