eanum,reg_code,reg_name,ur,ez,locality_name,dist_name
1,1,Western,1,1,HALF ASSINI,Jomoro
2,1,Western,2,1,ASEMPAYE,Jomoro
3,1,Western,2,1,EZINLIBO,Jomoro
4,1,Western,2,1,NEW KABENLASUAZO,Jomoro
5,1,Western,1,1,AXIM (AKYINIM),Nzema East
6,1,Western,2,1,AYISAKRO,Nzema East
7,1,Western,2,1,NVUMA,Nzema East
8,1,Western,1,1,AIYINASE,Nzema East
9,1,Western,2,1,AWIEBO,Nzema East
10,1,Western,2,1,SANZULE,Nzema East
11,1,Western,2,1,MFETA A'LANG,Ahanta West
12,1,Western,2,1,ABURA,Ahanta West
13,1,Western,2,1,AKATACHI,Ahanta West
14,1,Western,1,1,KWESIMINTSIM,Shama Ahanta East
15,1,Western,1,1,TAKORADI,Shama Ahanta East
16,1,Western,1,1,NEW TAKORADI,Shama Ahanta East
17,1,Western,1,1,EFFIAKUMA,Shama Ahanta East
18,1,Western,1,1,EFFIA,Shama Ahanta East
19,1,Western,1,1,BUTUMAJEBU,Shama Ahanta East
20,1,Western,1,1,NGYIRESIA,Shama Ahanta East
21,1,Western,1,1,KOBINA ANNOKROM,Shama Ahanta East
22,1,Western,1,1,SHAMA,Shama Ahanta East
23,1,Western,1,1,SUPOMU-DUNKWA,Shama Ahanta East
24,1,Western,2,2,TUMENTU,Mpohor Wassa East
25,1,Western,2,2,AMANSHIA,Mpohor Wassa East
26,1,Western,2,2,ADUM BANSO,Mpohor Wassa East
27,1,Western,1,2,TARKWA,Wassa West
28,1,Western,2,2,FIASEMAN SECONDARY SCHOOL,Wassa West
29,1,Western,2,2,ABOTARE YE,Wassa West
30,1,Western,1,2,PRESTEA,Wassa West
31,1,Western,2,2,SIMPA-PEPESA,Wassa West
32,1,Western,2,2,KOOKOASE,Wassa West
33,1,Western,1,2,ASANKRAGWA,Wassa Amenfi East
34,1,Western,2,2,AMUAKU,Wassa Amenfi East
35,1,Western,2,2,JERUSALEM,Wassa Amenfi East
36,1,Western,2,2,OPON VALLEY,Wassa Amenfi East
37,1,Western,2,2,MOSEASO,Wassa Amenfi East
38,1,Western,2,2,NSUAEM NO.2,Wassa Amenfi East
39,1,Western,1,2,DADIESO,Aowin-Suaman
40,1,Western,2,2,ABOABO,Aowin-Suaman
41,1,Western,2,2,ASUAAKRO,Aowin-Suaman
42,1,Western,2,2,ANKOTOMBRA-NKWANTA,Aowin-Suaman
43,1,Western,2,2,KWESI ADUKROM (FANTEKROM),Bia
44,1,Western,2,2,NEW PAPASE,Bia
45,1,Western,2,2,MAJERA,Bia
46,1,Western,2,2,YAWMATWA,Bia
47,1,Western,2,2,ELLUOKROM,Bia
48,1,Western,2,2,ASUOPIRI,Bia
49,1,Western,1,2,ASANWINSO,Sefwi Wiawso
50,1,Western,2,2,NSO NYAME YE,Sefwi Wiawso
51,1,Western,2,2,DATANO,Sefwi Wiawso
52,1,Western,2,2,AHOKWAA,Sefwi Wiawso
53,1,Western,1,2,BIBIANI,Bibiani/Anwiaso/Bekwai
54,1,Western,2,2,KANAYEREBO ESTATES,Bibiani/Anwiaso/Bekwai
55,1,Western,1,2,SEFWI BEKWAI,Bibiani/Anwiaso/Bekwai
56,1,Western,2,2,MEREWA,Bibiani/Anwiaso/Bekwai
57,2,Central,1,1,ELMINA,Komenda/Edna Eguafo/Ebire
58,2,Central,2,1,ABREM AGONA,Komenda/Edna Eguafo/Ebire
59,2,Central,2,1,ABREM ESSIAM,Komenda/Edna Eguafo/Ebire
60,2,Central,2,1,KISSI,Cape Coast
61,2,Central,1,1,CAPE COAST (CENTRAL),Cape Coast
62,2,Central,1,1,C. COAST (KOTOKURAB/TANTRI),Cape Coast
63,2,Central,1,1,C.COAST (CAPE VARS/OLA),Cape Coast
64,2,Central,2,1,OBRATWAOWU (ABEKAKROM),Abura/Asebu/Kwamankese
65,2,Central,1,1,ABURA-DUNKWA,Abura/Asebu/Kwamankese
66,2,Central,2,1,EDUMFA,Abura/Asebu/Kwamankese
67,2,Central,2,1,KOBINA ANSAH,Mfantsiman
68,2,Central,2,1,MPRENKYE,Mfantsiman
69,2,Central,1,1,ANOMABO,Mfantsiman
70,2,Central,2,1,KROFU,Mfantsiman
71,2,Central,1,1,APAM,Gomoa
72,2,Central,2,1,GOMOA BREBIANO,Gomoa
73,2,Central,1,1,BUDUBURAM,Gomoa
74,2,Central,2,1,GOMOA ESHIEM,Gomoa
75,2,Central,2,1,OJOBI,Gomoa
76,2,Central,2,1,GOMOA ESIKUMA,Gomoa
77,2,Central,1,1,WINNEBA,Awutu/Efutu/Senya
78,2,Central,2,1,BENTUM-DARKOYAW,Awutu/Efutu/Senya
79,2,Central,1,1,AWUTU SENYA,Awutu/Efutu/Senya
80,2,Central,1,1,AGONA SWEDRU,Agona
81,2,Central,1,1,AGONA SWEDRU,Agona
82,2,Central,2,1,NYAME DAM,Agona
83,2,Central,2,1,NKWANTA NANDO,Agona
84,2,Central,1,1,ABODOM,Agona
85,2,Central,1,1,BREMAN ASIKUMA,Asikuma/Odoben/Brakwa
86,2,Central,2,1,BRAKWA ESHIEM (EHYIAEMU),Asikuma/Odoben/Brakwa
87,2,Central,2,1,BREMAN AMANFOPONG,Asikuma/Odoben/Brakwa
88,2,Central,1,1,BESEASE,Ajumako/Enyan/Esunafo
89,2,Central,2,1,BEBIANEHA,Ajumako/Enyan/Esunafo
90,2,Central,2,1,ENYAN-MAIM,Ajumako/Enyan/Esunafo
91,2,Central,1,2,ASSIN FOSU,Assin North
92,2,Central,2,2,ASSIN NKRANG,Assin North
93,2,Central,2,2,MPEGU (OBRAWOMIAM),Assin North
94,2,Central,2,2,TETARE NKWANTA (OPAREKROM,Assin North
95,2,Central,2,2,ASSIN NSUTA,Assin North
96,2,Central,2,2,ASSIN ANDOE,Assin North
97,2,Central,2,2,TAFRAJOA NOS. 1 & 2,Twifo-Heman/Lower Denkyira
98,2,Central,2,2,AKOTOKYI JUABEN NO.1,Twifo-Heman/Lower Denkyira
99,2,Central,2,2,KAYIREKU,Twifo-Heman/Lower Denkyira
100,2,Central,1,2,DUNKWA-ON-OFIN,Upper Denkyira
101,2,Central,2,2,ADABOI,Upper Denkyira
102,2,Central,2,2,NYINAWONSO-AWIASO,Upper Denkyira
103,3,Greater Accr,1,1,MAMPONSE,Accra Metro
104,3,Greater Accr,1,1,CHORKOR,Accra Metro
105,3,Greater Accr,1,1,MAMPROBI,Accra Metro
106,3,Greater Accr,1,1,MAMPROBI,Accra Metro
107,3,Greater Accr,1,1,KORLE GONNO,Accra Metro
108,3,Greater Accr,1,1,SABON ZONGO,Accra Metro
109,3,Greater Accr,1,1,ABOSSEY OKAI,Accra Metro
110,3,Greater Accr,1,1,LARTEBIOKORSHIE,Accra Metro
111,3,Greater Accr,1,1,SUKURA,Accra Metro
112,3,Greater Accr,1,1,RUSSIA,Accra Metro
113,3,Greater Accr,1,1,WEST ABOSSEY OKAI,Accra Metro
114,3,Greater Accr,1,1,SAHARA-DANSOMAN,Accra Metro
115,3,Greater Accr,1,1,NORTH ODORKOR,Accra Metro
116,3,Greater Accr,1,1,KWASHIEMAN,Accra Metro
117,3,Greater Accr,1,1,JAMES TOWN,Accra Metro
118,3,Greater Accr,1,1,USSHER TOWN,Accra Metro
119,3,Greater Accr,1,1,ACCRA CENTRAL,Accra Metro
120,3,Greater Accr,1,1,KORLE DUDOR,Accra Metro
121,3,Greater Accr,1,1,TUDU,Accra Metro
122,3,Greater Accr,1,1,ADABRAKA,Accra Metro
123,3,Greater Accr,1,1,ASYLUM,Accra Metro
124,3,Greater Accr,1,1,OSU,Accra Metro
125,3,Greater Accr,1,1,SOUTH LA,Accra Metro
126,3,Greater Accr,1,1,CANTONMENTS,Accra Metro
127,3,Greater Accr,1,1,LA,Accra Metro
128,3,Greater Accr,1,1,LA,Accra Metro
129,3,Greater Accr,1,1,TESHIE,Accra Metro
130,3,Greater Accr,1,1,BURMA CAMP,Accra Metro
131,3,Greater Accr,1,1,SOUTH TESHIE,Accra Metro
132,3,Greater Accr,1,1,NORTH TESHIE,Accra Metro
133,3,Greater Accr,1,1,NUNGUA,Accra Metro
134,3,Greater Accr,1,1,NUNGUA,Accra Metro
135,3,Greater Accr,1,1,HEDZOLEMAN (TESHIE-NUNGUA),Accra Metro
136,3,Greater Accr,1,1,KOKOMLEMLE,Accra Metro
137,3,Greater Accr,1,1,NEW TOWN,Accra Metro
138,3,Greater Accr,1,1,NEW TOWN,Accra Metro
