cluster,region,district,distype,subdist,ea,locality,eacode,v9,dist_new,latitude,longitude
495,4,18,1,0,39,4,418100039,Nkwanta North,418,8.4871502,.30973801
811,7,8,2,0,91,3,708200091,Sunyani Municipal,708,7.3364501,-2.33147
799,7,5,1,0,49,11,705100049,Dormaa East,705,7.3010802,-2.7920499
807,7,7,1,0,83,8,707100083,Tano North,707,7.2205601,-2.2350099
169,2,8,1,0,20,1,208100020,Gomoa East,208,5.4272599,-.58907503
820,7,10,2,0,42,8,710200042,Berekum,710,7.44872,-2.5682099
658,6,9,1,0,126,16,609100126,Asante Akim South,609,6.5795455,-1.1167367
806,7,7,1,0,39,4,707100039,Tano North,707,7.1695299,-2.1001101
124,2,1,2,0,105,1,201200105,Komenda / Edina / Eguafo / Abirem,201,5.1575384,-1.3258148
233,2,16,2,0,82,6,216200082,Upper Denkyira East,216,5.9601202,-1.78846
177,2,8,1,0,222,28,208100222,Gomoa East,208,5.4855199,-.68563598
803,7,6,1,0,85,9,706100085,Tano South,706,7.2015848,-2.0258479
216,2,14,2,0,52,2,214200052,Assin North,214,5.71382,-1.2840199
1107,10,1,1,0,36,8,1001100036,Wa West,1001,9.7911701,-2.4898801
167,2,7,2,0,38,1,207200038,Effutu,207,5.33779,-.62532997
860,7,17,1,0,84,16,717100084,Nkoranza North,717,7.7124701,-1.55336
808,7,7,1,0,110,1,707100110,Tano North,707,7.2940302,-2.13272
449,4,10,1,0,136,21,410100136,Norh Dayi (Kpando),410,7.00913,.31546
660,6,10,2,0,50,3,610200050,Asante Akim North,610,6.6217241,-1.1913267
452,4,11,2,0,50,50,411200050,Hohoe,411,6.8607202,.40059301
215,2,14,2,0,27,2,214200027,Assin North,214,5.6991,-1.27004
816,7,9,1,0,58,5,709100059,Sunyani West,709,7.3937602,-2.1858699
731,6,15,1,0,40,8,615100040,Atwima Nwabiagya,615,6.70119,-1.7281801
802,7,6,1,0,36,5,706100036,Tano South,706,7.0875568,-2.0261872
1011,9,1,1,0,111,4,901100111,Builsa,901,10.7323,-1.28502
226,2,15,1,0,130,16,215100130,Twifo / Heman / Lower Denkyira,215,5.6019702,-1.55004
