"Number","WRB_group"
0,"No data"
1,"Acrisols"
2,"Acrisols"
3,"Acrisols"
4,"Acrisols"
5,"Acrisols"
6,"Acrisols"
7,"Albeluvisols"
8,"Albeluvisols"
9,"Albeluvisols"
10,"Alisols"
11,"Alisols"
12,"Andosols"
13,"Andosols"
14,"Andosols"
15,"Arenosols"
16,"Arenosols"
17,"Arenosols"
18,"Arenosols"
19,"Arenosols"
20,"Arenosols"
21,"Calcisols"
22,"Calcisols"
23,"Calcisols"
24,"Calcisols"
25,"Cambisols"
26,"Cambisols"
27,"Cambisols"
28,"Cambisols"
29,"Cambisols"
30,"Cambisols"
31,"Cambisols"
32,"Cambisols"
33,"Cambisols"
34,"Cambisols"
35,"Cambisols"
36,"Chernozems"
37,"Chernozems"
38,"Chernozems"
39,"Cryosols"
40,"Cryosols"
41,"Cryosols"
42,"Durisols"
43,"Ferralsols"
44,"Ferralsols"
45,"Ferralsols"
46,"Ferralsols"
47,"Ferralsols"
48,"Fluvisols"
49,"Fluvisols"
50,"Fluvisols"
51,"Fluvisols"
52,"Fluvisols"
53,"Gleysols"
54,"Gleysols"
55,"Gleysols"
56,"Gleysols"
57,"Gleysols"
58,"Gleysols"
59,"Gypsisols"
60,"Gypsisols"
61,"Histosols"
62,"Histosols"
63,"Histosols"
64,"Histosols"
65,"Histosols"
66,"Kastanozems"
67,"Kastanozems"
68,"Leptosols"
69,"Leptosols"
70,"Leptosols"
71,"Leptosols"
72,"Leptosols"
73,"Lixisols"
74,"Lixisols"
75,"Lixisols"
76,"Luvisols"
77,"Luvisols"
78,"Luvisols"
79,"Luvisols"
80,"Luvisols"
81,"Luvisols"
82,"Luvisols"
83,"Luvisols"
84,"Luvisols"
85,"Nitisols"
86,"Nitisols"
87,"Phaeozems"
88,"Phaeozems"
89,"Phaeozems"
90,"Planosols"
91,"Planosols"
92,"Planosols"
93,"Planosols"
94,"Planosols"
95,"Plinthosols"
96,"Plinthosols"
97,"Podzols"
98,"Podzols"
99,"Regosols"
100,"Regosols"
101,"Regosols"
102,"Regosols"
103,"Regosols"
104,"Regosols"
105,"Solonchaks"
106,"Solonchaks"
107,"Solonchaks"
108,"Solonetz"
109,"Solonetz"
110,"Solonetz"
111,"Solonetz"
112,"Stagnosols"
113,"Umbrisols"
114,"Umbrisols"
115,"Vertisols"
116,"Vertisols"
117,"Vertisols"
118,"Vertisols"
